101	1124	1161	11433	1.0	20170904.0	20040814
102	1225	1262	14315	4.0	20170904.0	20111019
102	1168	1255	19285	3.0	20170904.0	20100412
101	1108	2504	19809	1.0	20170904.0	20140902
102	1148	1417	14503	2.0	20170904.0	20120802
102	1173	1450	14981	0.0	20170904.0	20140723
102	1152	2506	19888	60.0	20170904.0	20150828
101	1109	1459	19230	1.0	20170904.0	20140818
101	1109	2729	21639	0.0	20170904.0	20151029
101	1130	1172	20870	0.0	20170904.0	20150212
102	1240	1448	14956	0.0	20170904.0	20140829
101	1109	2729	21643	0.0	20170904.0	20170223
101	1101	1411	14490	657.0	20170904.0	20120403
101	1101	1105	11107	1.0	20170904.0	20060313
101	1108	1123	19225	0.0	20170904.0	20120614
102	1153	1222	12893	2.0	20170904.0	20140207
101	1101	1412	14419	2.0	20170904.0	20090603
102	1239	2663	21094	0.0	20170904.0	20150515
101	1101	1411	14417	233.0	20170904.0	20130123
102	1154	1225	12955	2.0	20170904.0	20070913
102	1152	1217	12763	2.0	20170904.0	20100407
102	1151	1214	12676	0.0	20170904.0	20120305
101	1109	1394	14317	0.0	20170904.0	20101112
102	1166	1409	19830	0.0	20170904.0	20110819
101	1108	1123	11641	2.0	20170904.0	20100113
101	1121	1441	14867	1.0	20170904.0	20141111
102	1225	1262	14313	6.0	20170904.0	20120509
102	1171	1258	13256	1.0	20170904.0	20090120
102	1152	2506	19888	59.0	20170904.0	20140904
101	1112	1413	14454	3.0	20170904.0	20140618
101	1126	1167	12153	3.0	20170904.0	20091224
102	1236	1429	14670	4.0	20170904.0	20160531
102	1157	1230	12502	0.0	20170904.0	20150108
101	1108	1122	11625	1.0	20170904.0	20080211
101	1229	1399	19203	951.0	20170904.0	20130822
101	1101	1411	14417	4.0	20170904.0	20131203
102	1170	1257	12394	2.0	20170904.0	20150618
102	1166	1409	14394	0.0	20170904.0	20120306
101	1101	1411	14417	1.0	20170904.0	20110707
101	1121	1156	11538	3.0	20170904.0	20070511
101	1129	1170	11930	4.0	20170904.0	20051219
101	1129	1460	19248	4.0	20170904.0	20130621
102	1153	1497	19723	3.0	20170904.0	20140721
102	1152	2506	19888	58.0	20170904.0	20150709
102	1166	1250	12370	3.0	20170904.0	20100907
101	1105	1112	11319	1.0	20170904.0	20080109
102	1236	1429	14670	3.0	20170904.0	20130913
102	1236	1429	14670	2.0	20170904.0	20140930
101	1108	1122	11620	1.0	20170904.0	20080910
101	1126	1167	12193	9.0	20170904.0	20160729
