1160	9	20160504.0	20160513.0
1650	92	20160504.0	20160804.0
280	43	20160504.0	20160616.0
600	20	20160504.0	20160524.0
2300	27	20160504.0	20160531.0
1970	38	20160504.0	20160611.0
2370	12	20160504.0	20160516.0
2590	48	20160504.0	20160621.0
1050	12	20160504.0	20160516.0
550	27	20160504.0	20160531.0
330	41	20160505.0	20160615.0
440	40	20160505.0	20160614.0
370	22	20160505.0	20160527.0
940	22	20160505.0	20160527.0
450	19	20160505.0	20160524.0
790	22	20160505.0	20160527.0
1750	186	20160505.0	20161107.0
2860	50	20160505.0	20160624.0
1090	30	20160505.0	20160604.0
1170	30	20160505.0	20160604.0
740	22	20160505.0	20160527.0
270	113	20160505.0	20160826.0
910	30	20160505.0	20160604.0
1950	31	20160505.0	20160605.0
490	50	20160505.0	20160624.0
2290	22	20160505.0	20160527.0
1340	39	20160505.0	20160613.0
2030	39	20160505.0	20160613.0
1390	35	20160505.0	20160609.0
3200	43	20160505.0	20160617.0
1320	30	20160505.0	20160604.0
1850	31	20160505.0	20160605.0
1720	30	20160505.0	20160604.0
620	30	20160505.0	20160604.0
1570	22	20160505.0	20160527.0
1140	30	20160505.0	20160604.0
2670	35	20160506.0	20160610.0
290	7	20160506.0	20160513.0
1770	20	20160506.0	20160526.0
450	4	20160506.0	20160510.0
990	11	20160506.0	20160517.0
160	24	20160506.0	20160530.0
220	20	20160507.0	20160527.0
640	24	20160507.0	20160531.0
190	69	20160507.0	20160715.0
2020	42	20160507.0	20160618.0
320	43	20160507.0	20160619.0
1120	46	20160507.0	20160622.0
150	83	20160507.0	20160729.0
810	6	20160507.0	20160513.0
1580	52	20160509.0	20160630.0
1230	60	20160509.0	20160708.0
1710	48	20160509.0	20160626.0
790	28	20160509.0	20160606.0
1350	28	20160509.0	20160606.0
750	17	20160509.0	20160526.0
1190	18	20160509.0	20160527.0
870	35	20160509.0	20160613.0
1050	4	20160509.0	20160513.0
1380	28	20160509.0	20160606.0
1670	74	20160509.0	20160722.0
2420	87	20160509.0	20160804.0
350	51	20160509.0	20160629.0
1840	28	20160509.0	20160606.0
590	18	20160509.0	20160527.0
190	110	20160509.0	20160827.0
430	18	20160509.0	20160527.0
1680	15	20160510.0	20160525.0
480	69	20160510.0	20160718.0
750	111	20160510.0	20160829.0
2520	15	20160510.0	20160525.0
730	36	20160510.0	20160615.0
1590	31	20160510.0	20160610.0
190	43	20160510.0	20160622.0
1190	125	20160510.0	20160912.0
660	108	20160510.0	20160826.0
1450	17	20160510.0	20160527.0
390	24	20160510.0	20160603.0
1450	17	20160510.0	20160527.0
650	157	20160510.0	20161014.0
470	17	20160510.0	20160527.0
1130	59	20160510.0	20160708.0
1310	79	20160510.0	20160728.0
870	17	20160510.0	20160527.0
650	7	20160510.0	20160517.0
1950	36	20160510.0	20160615.0
2370	38	20160510.0	20160617.0
570	21	20160510.0	20160531.0
4650	17	20160510.0	20160527.0
570	160	20160510.0	20161017.0
930	34	20160510.0	20160613.0
410	50	20160510.0	20160629.0
1270	83	20160510.0	20160801.0
1890	23	20160510.0	20160602.0
2990	2	20160510.0	20160512.0
1330	6	20160510.0	20160516.0
3270	2	20160511.0	20160513.0
750	12	20160511.0	20160523.0
2050	19	20160511.0	20160530.0
690	37	20160511.0	20160617.0
3190	12	20160511.0	20160523.0
1490	31	20160511.0	20160611.0
890	9	20160511.0	20160520.0
3660	22	20160512.0	20160603.0
2020	28	20160512.0	20160609.0
730	2	20160512.0	20160514.0
1730	22	20160512.0	20160603.0
4300	53	20160512.0	20160704.0
230	2	20160512.0	20160514.0
390	100	20160512.0	20160820.0
3490	85	20160512.0	20160805.0
820	14	20160512.0	20160526.0
650	55	20160512.0	20160706.0
2790	46	20160512.0	20160627.0
200	6	20160512.0	20160518.0
2040	187	20160512.0	20161115.0
340	47	20160512.0	20160628.0
2890	22	20160512.0	20160603.0
