model_code,car_type,trans_mode,fuel_type,branch,affiliate_code,region,trading_complex,refund,vain_effort,guarantee,selected_color,reg_month,adv_month,maker_code,class_code,car_code,grade_code
11360.0,,,,,205246.0,용인시 기흥구,모빌월드매매단지,,,,,,,,,1230.0,61.0
11361.0,,,,,205248.0,용인시 처인구,목포시 개별단지,,,,,,,,,1243.0,62.0
11362.0,,,,,205249.0,원주시,밀양시 개별단지,,,,,,,,,1244.0,63.0
11363.0,,,,,205252.0,유성구,반야월매매단지,,,,,,,,,1245.0,64.0
11364.0,,,,,205254.0,의정부시,반여강변자동차매매단지,,,,,,,,,1246.0,65.0
11368.0,,,,,205262.0,이천시,번영매매단지,,,,,,,,,1247.0,66.0
11369.0,,,,,205263.0,익산시,부산자동차매매단지,,,,,,,,,1248.0,67.0
11371.0,,,,,205264.0,전주시 덕진구,부천오토파크,,,,,,,,,1249.0,68.0
11377.0,,,,,205267.0,전주시 완산구,북구 개별단지,,,,,,,,,1250.0,69.0
11382.0,,,,,205270.0,제주시,북부산단지,,,,,,,,,1251.0,70.0
11383.0,,,,,205273.0,제천시,북부자동차매매단지,,,,,,,,,1253.0,157.0
11387.0,,,,,205279.0,중구,북수원오토파크,,,,,,,,,1254.0,158.0
11388.0,,,,,205280.0,진주시,북수원종합매매단지,,,,,,,,,1255.0,159.0
11390.0,,,,,205284.0,창원시 마산회원구,북천안자동차매매단지,,,,,,,,,1256.0,161.0
11394.0,,,,,205296.0,창원시 성산구,빛고을오토갤러리,,,,,,,,,1257.0,162.0
11395.0,,,,,205303.0,창원시 의창구,사상구 개별단지,,,,,,,,,1258.0,163.0
11408.0,,,,,205306.0,천안시 동남구,사직오토랜드,,,,,,,,,1259.0,164.0
11420.0,,,,,205308.0,천안시 서북구,사천경남매매단지,,,,,,,,,1260.0,165.0
11430.0,,,,,205309.0,청주시 상당구,삼성자동차매매단지,,,,,,,,,1261.0,166.0
11433.0,,,,,205311.0,청주시 청원구,삼척시 개별단지,,,,,,,,,1262.0,167.0
11434.0,,,,,205315.0,청주시 흥덕구,새연산자동차매매단지,,,,,,,,,1352.0,168.0
11435.0,,,,,205317.0,칠곡군,서부산자동차매매단지,,,,,,,,,1367.0,169.0
11436.0,,,,,205318.0,태백시,서부자동차매매단지,,,,,,,,,1368.0,170.0
11437.0,,,,,205323.0,평택시,서서울모터리움,,,,,,,,,1372.0,171.0
11438.0,,,,,205324.0,포천시,서수원자동차매매단지,,,,,,,,,1373.0,172.0
11439.0,,,,,205327.0,포항시 남구,서이천매매단지,,,,,,,,,1385.0,173.0
11440.0,,,,,205334.0,포항시 북구,서청주자동차매매단지,,,,,,,,,1394.0,174.0
11446.0,,,,,205335.0,해운대구,성남시 분당구 개별단지,,,,,,,,,1399.0,175.0
11447.0,,,,,205337.0,,속초매매단지,,,,,,,,,1403.0,176.0
11448.0,,,,,205339.0,,속초시 개별단지,,,,,,,,,1404.0,177.0
11449.0,,,,,205341.0,,솔모루자동차매매단지,,,,,,,,,1405.0,178.0
11456.0,,,,,205347.0,,수원시 권선구 개별단지,,,,,,,,,1409.0,179.0
11457.0,,,,,205349.0,,수원오토컬렉션,,,,,,,,,1410.0,180.0
11458.0,,,,,205352.0,,순천시 개별단지,,,,,,,,,1411.0,194.0
11461.0,,,,,205353.0,,순천자동차매매단지,,,,,,,,,1412.0,195.0
11462.0,,,,,205354.0,,시청매매단지,,,,,,,,,1413.0,196.0
11463.0,,,,,205356.0,,신경주자동차매매단지,,,,,,,,,1414.0,197.0
11465.0,,,,,205357.0,,신대자동차매매단지,,,,,,,,,1415.0,198.0
11473.0,,,,,205358.0,,신라1매매단지,,,,,,,,,1417.0,199.0
11475.0,,,,,205361.0,,신사상자동차매매단지,,,,,,,,,1429.0,200.0
11478.0,,,,,205362.0,,신월동자동차매매단지(서부),,,,,,,,,1431.0,201.0
11480.0,,,,,205365.0,,신중앙자동차매매단지,,,,,,,,,1433.0,202.0
11481.0,,,,,205366.0,,신평자동차매매단지,,,,,,,,,1440.0,203.0
11482.0,,,,,205367.0,,안산시 단원구 개별단지,,,,,,,,,1441.0,204.0
11483.0,,,,,205370.0,,안양오토갤러리,,,,,,,,,1442.0,205.0
11484.0,,,,,205372.0,,양주시 개별단지,,,,,,,,,1444.0,206.0
11485.0,,,,,205374.0,,엑스포자동차매매단지,,,,,,,,,1446.0,207.0
11525.0,,,,,205375.0,,엠파크랜드자동차매매단지,,,,,,,,,1447.0,208.0
11529.0,,,,,205376.0,,엠파크타워자동차매매단지,,,,,,,,,1448.0,209.0
11532.0,,,,,205377.0,,엠파크허브자동차매매단지,,,,,,,,,1450.0,227.0
11535.0,,,,,205378.0,,엠플러스,,,,,,,,,1451.0,229.0
11538.0,,,,,205379.0,,여수시 개별단지,,,,,,,,,1454.0,230.0
11542.0,,,,,205380.0,,연제자동차매매단지,,,,,,,,,1456.0,231.0
11545.0,,,,,205381.0,,영광군 개별단지,,,,,,,,,1457.0,232.0
11548.0,,,,,205382.0,,영천시 개별단지,,,,,,,,,1459.0,233.0
11551.0,,,,,205383.0,,영통자동차매매단지,,,,,,,,,1460.0,234.0
11602.0,,,,,205384.0,,오토드림 매매단지,,,,,,,,,1461.0,235.0
11608.0,,,,,205385.0,,오토밸리매매단지,,,,,,,,,1462.0,236.0
11610.0,,,,,205386.0,,오토월드,,,,,,,,,1478.0,306.0
11613.0,,,,,205387.0,,오토월드매매단지,,,,,,,,,1479.0,307.0
11615.0,,,,,205388.0,,오토캐슬매매단지,,,,,,,,,1480.0,308.0
11618.0,,,,,205389.0,,오토파크자동차매매단지,,,,,,,,,1481.0,309.0
11619.0,,,,,205390.0,,오토프라자,,,,,,,,,1482.0,310.0
11620.0,,,,,205391.0,,오토허브,,,,,,,,,1485.0,311.0
11621.0,,,,,205392.0,,완주군 개별단지,,,,,,,,,1486.0,312.0
11625.0,,,,,205395.0,,용인시 기흥구 개별단지,,,,,,,,,1487.0,313.0
11628.0,,,,,205396.0,,용인오토갤러리,,,,,,,,,1495.0,314.0
11629.0,,,,,205397.0,,우리오토월드매매단지,,,,,,,,,1497.0,429.0
11631.0,,,,,205400.0,,우창자동차백화점단지,,,,,,,,,2504.0,430.0
11632.0,,,,,205401.0,,울산자동차매매단지,,,,,,,,,2505.0,431.0
11633.0,,,,,205402.0,,원주시 개별단지,,,,,,,,,2506.0,432.0
11634.0,,,,,205403.0,,원주자동차매매단지,,,,,,,,,2517.0,433.0
