trading_complex,car_type,trans_mode,fuel_type,branch,region,refund,vain_effort,guarantee,selected_color
인천교자동차매매단지,,,,,,,,,
일신자동차매매단지,,,,,,,,,
자동차1번지매매단지,,,,,,,,,
자동차마을,,,,,,,,,
작전자동차매매단지,,,,,,,,,
장동자동차매매단지,,,,,,,,,
장안모터프라자단지,,,,,,,,,
장안평자동차매매단지,,,,,,,,,
전방자동차매매단지,,,,,,,,,
전북자동차매매단지,,,,,,,,,
전주시 덕진구 개별단지,,,,,,,,,
전주시 완산구 개별단지,,,,,,,,,
제물포자동차매매단지,,,,,,,,,
제일북수원매매단지,,,,,,,,,
제주시 개별단지,,,,,,,,,
제천시 개별단지,,,,,,,,,
주안자동차매매단지,,,,,,,,,
중구 개별단지,,,,,,,,,
중부자동차매매단지,,,,,,,,,
중부종합시장,,,,,,,,,
중앙자동차매매단지(수원),,,,,,,,,
진주자동차매매단지,,,,,,,,,
창원자동차매매전시장(천차만차),,,,,,,,,
천안매매단지,,,,,,,,,
천안중부매매단지,,,,,,,,,
청주시 상당구 개별단지,,,,,,,,,
청주시 청원구 개별단지,,,,,,,,,
청주오토월드매매단지,,,,,,,,,
청주자동차매매단지,,,,,,,,,
칠곡군 개별단지,,,,,,,,,
카마트자동차매매단지,,,,,,,,,
카서울닷컴,,,,,,,,,
태백자동차매매단지,,,,,,,,,
태평양자동차매매단지,,,,,,,,,
팔봉오토파크,,,,,,,,,
팡팡자동차매매단지,,,,,,,,,
포천시 개별단지,,,,,,,,,
포항시 북구 개별단지,,,,,,,,,
포항오토아울렛단지,,,,,,,,,
포항터미널매매단지,,,,,,,,,
풍암자동차매매1단지,,,,,,,,,
풍암자동차매매2단지,,,,,,,,,
풍암자동차매매3단지,,,,,,,,,
하남자동차매매단지,,,,,,,,,
한맥매매단지,,,,,,,,,
한성매매단지,,,,,,,,,
한성자동차매매단지,,,,,,,,,
해운대구 개별단지,,,,,,,,,
